# GNSS Interseismic Velocities — North America-Fixed Reference Frame
# Euler pole used: ITRF2014 — Altamimi et al. (2017), ITRF2014
# Pole lat=-0.248° lon=-80.314° omega=0.1860 deg/Myr
# NA-fixed velocity = ITRF velocity − Euler-predicted NA plate motion
# All velocities in mm/yr; uncertainties are 1-sigma formal errors
#
# station        lat        lon        Ve   Ve_sig        Vn   Vn_sig        Vu   Vu_sig   Ve_pred   Vn_pred   n_obs
# ---------------------------------------------------------------------------------------------------------
  p383       44.3422  -122.2172   -0.6922   0.0190   +6.9717   0.0170   -0.9279   0.0508  -10.8229  -13.8130    5723
  p384       44.8411  -122.4828   +0.6827   0.0181   +7.6282   0.0188   -0.3920   0.0566  -10.8726  -13.8842    5336
  p385       44.4348  -121.9458   -0.6175   0.0259   +6.8187   0.0321   -2.2830   0.0834  -10.8863  -13.7400    5781
  p387       44.2968  -121.5745   -1.3633   0.0228   +5.9309   0.0173   -1.0188   0.0668  -10.9218  -13.6395    5792
  p395       45.0223  -123.8575   +4.3856   0.0211  +10.9653   0.0200   +0.4189   0.0533  -10.6679  -14.2480    5826
  p396       45.3095  -123.8229   +4.3427   0.0272  +10.7799   0.0181   -0.2907   0.0618  -10.7267  -14.2389    5684
  p397       46.4216  -123.7992   +5.5512   0.0251   +9.7453   0.0180   +0.6326   0.0476  -10.9325  -14.2327    5713
  p398       46.9258  -123.9161   +8.0177   0.0225  +10.7397   0.0178   +0.6108   0.0645  -11.0013  -14.2633    5840
  p399       47.4339  -123.6130   +6.0226   0.0274   +7.8097   0.0232   +0.7412   0.0645  -11.1464  -14.1839    4701
  p400       47.5133  -123.8125   +7.0749   0.0267   +8.5307   0.0287   +0.7336   0.0930  -11.1239  -14.2362    5359
  p401       47.9372  -124.5570  +12.7262   0.0162  +11.3385   0.0152   +1.0244   0.0428  -11.0598  -14.4299    5830
  p402       47.7662  -124.3059  +11.3192   0.0165  +11.3705   0.0154   +2.1931   0.0452  -11.0771  -14.3649    5834
  p403       48.0623  -124.1409   +7.3563   0.0340   +9.4938   0.0350   +2.2332   0.0796  -11.1590  -14.3219    5485
  p404       45.1585  -123.3903   +2.6346   0.0162  +10.1294   0.0274   -0.2468   0.0475  -10.7750  -14.1253    5840
  p405       45.6293  -123.6438   +4.4401   0.0216  +10.5292   0.0221   -1.1837   0.0488  -10.8169  -14.1920    5303
  p406       45.1904  -123.1523   +2.2645   0.0179   +8.8995   0.0184   -0.4444   0.0461  -10.8224  -14.0624    5843
  p407       45.9546  -123.9310   +9.1946   0.0302  +10.2880   0.0182   +0.9227   0.0556  -10.8248  -14.2672    5750
  p408       46.2005  -123.3766   +3.4464   0.0183   +8.7215   0.0207   -0.9408   0.0544  -10.9682  -14.1216    5774
  p409       45.8513  -123.2395   +3.0523   0.0165   +8.9708   0.0204   -0.0858   0.0509  -10.9289  -14.0854    4945
